QKEY,INTERVIEW_START_W74,INTERVIEW_END_W74,DEVICE_TYPE_W74,LANG_W74,FORM_W74,TOPICINT_a_W74,TOPICINT_b_W74,TOPICINT_c_W74,TOPICINT_d_W74,TOPICINT_e_W74,INEQATTN_W74,RACECONV_W74,EDUCRACE_W74,MINBUS_W74,COMMDIV_W74,COVID_SCI6E_W74,NOCVACC_a_W74,NOCVACC_b_W74,NOCVACC_c_W74,NOCVACC_d_W74,VACCNCRN_a_W74,VACCNCRN_b_W74,VACCNCRN_c_W74,VACCNCRN_d_W74,VACCNFDT_W74,VACCDEV_W74,VACCHAPPEN_a_W74,VACCHAPPEN_b_W74,VACCHAPPEN_c_W74,RACESURV5_a_W74,RACESURV5_b_W74,RACESURV5_c_W74,RACESURV5_d_W74,RACESURV5_i_W74,RACESURV5_j_W74,RACESURV6_W74,RACESURV12_W74,RACESURV13_W74,RACATTN_W74,RACESURV28_a_W74,RACESURV28_b_W74,RACESURV28_c_W74,RACESURV28_d_W74,RACESURV28_f_W74,RACESURV28_g_W74,IMPPEOPLE_a_W74,IMPPEOPLE_b_W74,IMPPEOPLE_c_W74,IMPPEOPLE_d_W74,IMPPEOPLE_e_W74,IMPPEOPLE_f_W74,REDRACIALINEQ_a_W74,REDRACIALINEQ_b_W74,REDRACIALINEQ_c_W74,REDRACIALINEQ_d_W74,REDRACIALINEQ_e_W74,REDRACIALINEQ_f_W74,REDRACIALINEQOTH_M1,REDRACIALINEQOTH_M2,REDRACIALINEQOTH_M3,REDRACIALINEQOTH_REFUSED_W74,BLM_W74,RACECHNG_W74,IMPLIVES_W74,POLICYCHNG_W74,SNSUSE_W74,POSTRACE_W74,POSTMOTIVE_a_W74,POSTMOTIVE_b_W74,JOKE1_W74,CANCUL1_W74,CANCUL2_W74,SMPOLAD1_W74,SMPOLAD2_W74,AVOIDPT1_W74,AVOIDPT2_a_W74,AVOIDPT2_b_W74,AVOIDPT2_c_W74,AVOIDPT2_d_W74,AVOIDPT2_e_W74,PROB1a_W74,SMSUEOH_W74,OHCONS_a_W74,OHCONS_b_W74,OHCONS_c_W74,OHCONS_d_W74,OHCONS_e_W74,SMOH_W74,ON7_a_W74,ON7_b_W74,ON7_c_W74,ON7_d_W74,ON7_e_W74,ON7_h_W74,IDENTITY_a_W74,IDENTITY_c_W74,IDENTITY_d_W74,IDENTITY_e_W74,IDENTITY_f_W74,ON7REC_a_W74,ON7REC_b_W74,ON7REC_c_W74,ON7REC_d_W74,ON7REC_e_W74,ON7REC_h_W74,ON10_W74,ON12_a_W74,ON12_b_W74,ON12_e_W74,ON12_f_W74,ON12_g_W74,ON12_h_W74,YOU1_W74,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE2,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO,F_INC_SDT1,F_REG,F_IDEO,F_INTFREQ,F_VOLSUM,RACATTN_W43,RACESURV5a_W43,RACESURV5b_W43,RACESURV5c_W43,RACESURV5d_W43,RACESURV5i_W43,RACESURV5j_W43,RACESURV6_W43,RACESURV12_W43,RACESURV13_W43,RACESURV28a_W43,RACESURV28b_W43,RACESURV28c_W43,RACESURV28d_W43,RACESURV28f_W43,RACESURV28g_W43,COVID_SCI6E_W67,WEIGHT_W43_W74,WEIGHT_W67_W74,WEIGHT_W74
100197,9/9/2020 23:16:59,9/9/2020 23:43:35,3,1,1,2,1,2,1,3,1,3,2,4,2,2, , , , ,2,2,2,2,2,1,3,2,2,3,3,3,3,5,3,2,2,2,99,1,1,1,1,1,1,2,2,2,3,2,3,3,1,2,2,2,2, , , ,99,2,2,2, ,2, , , ,1,1,4,3,4, , , , , , ,2,2,2,1,2,1,1,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,2,4,4,2,2,3,2, ,1,1,1,1,1,5,2,2,2,1,2, ,2,3,1,1,3,3,1, , , , , , , , , , , , , , , , ,1, ,.332594768834073,.343847756171006
100260,9/10/2020 23:21:54,9/10/2020 23:42:58,1,1,1,2,1,2,2,3,3,5,2,4,1,1, , , , ,3,3,2,3,1,2,1,1,4,5,5,5,5,5,5,1,3, ,1,3,3,3,3,3,3,2,2,4,4,4,4, , , , , , , , , ,0,4,3,2, ,2, , , ,2,2,2,1,3, , , , , , ,2,2,2,3,3,3,1,4,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,4,9,4,1,1,5,2, ,1,1,1,1,1,6,12, ,3,6,1, ,1,1,4,1,1,2,2,1,3,3,2,1, , ,1, , ,3,3,3,3,3,3,1,.173152814712672,.178778170278072,.194168544603048
100314,9/10/2020 11:45:51,9/10/2020 11:59:36,2,1,2,3,1,2,2,2,1,4,2,3,3,2, , , , ,3,3,3,3,2,1,2,3,2,1,5,5,5,1,5,1,3, ,1,3,3,3,3,3,3,4,4,4,4,4,4, , , , , , , , , ,0,4,1, ,2,2, , , ,2,1,4,3,4, , , , , , ,3,2,4,4,4,4,4,1,2,2,1,2,1,2,2,2,1,2,2, , ,2, ,2, ,3,2,2,2,2,2,1,3,2,2,3,4,1,2,3,2, ,1,1,1,1,1,2,1,2,1,5,1, ,1,2,2,1,3,3,1, , , , , , , , , , , , , , , , ,1, ,.534382357741725,.500483878852815
100363,9/9/2020 18:39:30,9/9/2020 18:49:02,2,1,1,2,3,3,2,3,1,2,3,4,3,2, , , , ,2,1,3,3,2,1,2,2,3,2,3,5,3,2,3,1,3, ,3,1,1,1,1,3,3,2,2,1,4,3,1, , , , , , , , , ,0,2,2,1, ,1,1,1,3,2,1,2,2,4,4,2,3,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,1,2,2,2,1,6,2, ,1,1,1,1,1,1,2,2,2,4,2, ,2,3,9,1,3,2,2, , , , , , , , , , , , , , , , ,3, ,.603193621380398,.557989623395638
100446,9/9/2020 18:06:58,9/9/2020 18:13:49,1,1,2,2,1,1,1,3,3,1,3,3,2,4,1,3,3,1, , , , ,3,1,3,3,2,1,4,3,2,1,3,2,3, ,3,1,1,1,1,3,1,2,2,2,2,3,1, , , , , , , , , ,0,2,1, ,1,2, , , ,1,1,2,3,4, , , , , , ,1,1,1,1,1,1,1,3,2,2,1,2,2,2,1,2,2,2,2, , , , , , ,2,2,2,2,1,2,2,1,1,1,1,3,2,1,6,2, ,1,3,5,1,1,6,7, ,4,6,2, ,2,4,8,1,4,2,1,3,5,3,3,2, , ,2, , ,1,3,1,1,3,1,2,.108952161390893,.169326368948748,.28786089922326
100637,9/9/2020 21:51:40,9/9/2020 22:02:27,1,1,1,4,1,2,4,4,2,5,4,4,2,4,2,1,3,2, , , , ,4,1,2,3,1,3,1,3,2,2,5,1,1, ,1,2,2,3,1,3,3,4,2,4,4,4,4, , , , , , , , , ,0,4,3,2, ,1,1,1,4,2,1,1,3,4,2, , , , , ,1,1,3,2,2,2,1,4,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,5,4,2,2,4,2, ,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,2,4,2,1,2,3,3,3, , ,1, , ,3,3,3,1,3,3,3,.630012328261831,.876835370038982,1.08109831095498
100803,9/9/2020 22:29:32,9/9/2020 22:43:30,1,1,1,1,2,2,1,3,1,4,2,3,2,2, , , , ,2,2,2,2,1,1,3,3,1,1,3,3,3,1,3,1,3, ,1,1,3,3,3,3,3,2,2,2,4,3,2, , , , , , , , , ,0,3,2,1, ,1,4, , ,2,2,4,3,4,4,3,2,1,1,1,2,2,2,3,2,1,1,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,2,2,4,3,2,1,5,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,9,1,2,4,1, , , , , , , , , , , , , , , , ,3, ,.356342708386224,.438748032788716
101437,9/11/2020 16:57:30,9/11/2020 17:14:01,1,1,1,1,1,1,2,4,2,2,4,1,1,4,1,1,1,1, , , , ,3,1,2,4,1,5,5,5,5,5,5,1,3, ,1,3,3,3,3,3,3,4,3,4,4,4,4, , , , , , , , , ,0,4,3,2, ,1,3,4,1,2,2,1,1,4,1, , , , , ,1,1,3,4,4,4,3,4,1,2,2,2,1,2,2,2,1,1,2,2, , , ,1, ,5,1,2,2,2,2,2,3,2,2,4,3,2,2,4,2, ,1,1,1,1,1,3,1,1,1,2,1, ,1,1,1,1,2,2,2, , , , , , , , , , , , , , , , ,4, ,.552788695483005,.577551289963881
101472,9/13/2020 18:27:08,9/13/2020 18:46:34,1,1,2,2,2,1,2,2,1,3,2,4,2,1, , , , ,2,3,2,3,2,1,2,1,3,2,3,5,5,2,5,1,3, ,3,3,3,1,1,3,3,1,2,3,4,2,2, , , , , , , , , ,0,3,2, ,1,1,4, , ,2,2,2,3,3,4,3,3,3,1,2,1,2,2,3,1,3,1,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,7,2,1,1,6,2, ,1,1,1,1,1,1,2,2,2,4,3,1,1,2,9,1,3,1,2,3,2,5,5,5,5,2,1,2,1,1,3,1, ,3,3,1,.425398018166883,.352703606607102,.368641085320813
101493,9/9/2020 18:04:45,9/9/2020 19:01:43,2,1,2,3,1,1,2,4,2,1,1,4,1,4,1,2,1,1, , , , ,2,1,1,3,1,2,3,1,1,1,1,1,3, ,1,3,3,3,3,3,3,4,4,1,4,1,1, , , , , , , , , ,0,4,3, ,1,1,1,2,4,2,2,1,3,4,2, , , , , ,2,2,4,2,1,2,4,4,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1, ,5,1,2,2,2,2,2,1,1,4,9,3,1,2,3,1,1,1,4,3,1,1,1,10, ,3,5,1, ,1,1,6,1,2,1,2,1,1,4,4,1, , ,1, , ,3,3,3,3,3,3,1,.117150124765987,.232615190615106,.291713545622759
